Germany-2018,Export,Intermediate goods,Austria,13766252.83
Germany-2018,Export,Intermediate goods,Belgium,13601735.54
Germany-2018,Export,Intermediate goods,China,12460403.91
Germany-2018,Export,Consumer goods,United States,48813185.25
Germany-2018,Export,Consumer goods,France,42941305.08
Germany-2018,Export,Consumer goods,United Kingdom,41416402.97
Germany-2018,Export,Consumer goods,Netherlands,32976131.77
Germany-2018,Export,Consumer goods,Switzerland,32249830.92
Germany-2018,Export,Consumer goods,Austria,30526915
Germany-2018,Export,Consumer goods,China,30486471.3
Germany-2018,Export,Consumer goods,Italy,28195798.5
Germany-2018,Export,Consumer goods,Poland,25689528.51
Germany-2018,Export,Consumer goods,Belgium,19720490.12
Germany-2018,Import,Animal,Netherlands,5842808.46
Germany-2018,Import,Animal,Poland,2620287.93
Germany-2018,Import,Animal,Denmark,2370587.14
Germany-2018,Import,Animal,France,1768563.44
Germany-2018,Import,Animal,Belgium,1435516.01
Germany-2018,Import,Animal,Austria,1251642.7
Germany-2018,Import,Animal,Italy,1137745.4
Germany-2018,Import,Animal,China,772107.37
Germany-2018,Import,Animal,Ireland,698973.92
Germany-2018,Import,Animal,Norway,631314.76
Germany-2018,Import,Vegetable,Netherlands,8234686.44
Germany-2018,Import,Vegetable,Spain,4744578.71
Germany-2018,Import,Vegetable,Italy,2909584.72
Germany-2018,Import,Vegetable,France,2291548.29
Germany-2018,Import,Vegetable,United States,2157389.24
Germany-2018,Import,Vegetable,Poland,1684438.73
Germany-2018,Import,Vegetable,Brazil,1555887.43
Germany-2018,Import,Vegetable,Belgium,1201565.65
Germany-2018,Import,Vegetable,Vietnam,830718.01
Germany-2018,Import,Vegetable,Turkey,801786.17
Germany-2018,Import,Food Products,Netherlands,6617844.13
Germany-2018,Import,Food Products,Italy,4468059.7
Germany-2018,Import,Food Products,Poland,3944510.76
Germany-2018,Import,Food Products,France,3811589.47
Germany-2018,Import,Food Products,Belgium,2669649.34
Germany-2018,Import,Food Products,Austria,2648506.7
Germany-2018,Import,Food Products,Spain,1660074.39
Germany-2018,Import,Food Products,Switzerland,1493308.95
Germany-2018,Import,Food Products,Brazil,1226922.56
Germany-2018,Import,Food Products,Denmark,1214693.12
Germany-2018,Import,Minerals,Brazil,1849792.18
Germany-2018,Import,Minerals,Canada,1165230.47
Germany-2018,Import,Minerals,South Africa,1158837.42
Germany-2018,Import,Minerals,Sweden,899706.61
Germany-2018,Import,Minerals,Peru,642999.77
Germany-2018,Import,Minerals,Netherlands,517617.78
Germany-2018,Import,Minerals,France,512601.87
Germany-2018,Import,Minerals,Chile,477764.21
Germany-2018,Import,Minerals,United States,458528.89
Germany-2018,Import,Minerals,Argentina,288621.17
Germany-2018,Import,Fuels,Special Categories,32608904.54
Germany-2018,Import,Fuels,Russian Federation,22003701.16
Germany-2018,Import,Fuels,Netherlands,19271901.42
Germany-2018,Import,Fuels,Belgium,5086230.95
Germany-2018,Import,Fuels,Norway,4485395.37
Germany-2018,Import,Fuels,United States,4143219.76
Germany-2018,Import,Fuels,Libya,4046158.2
Germany-2018,Import,Fuels,Kazakhstan,4002709.02
Germany-2018,Import,Fuels,United Kingdom,2562317.53
Germany-2018,Import,Fuels,Nigeria,2506915.22
Germany-2018,Import,Chemicals,Netherlands,19104492.13
Germany-2018,Import,Chemicals,Switzerland,17764810.85
Germany-2018,Import,Chemicals,Belgium,15672600.62
Germany-2018,Import,Chemicals,United States,13890202.34
Germany-2018,Import,Chemicals,Ireland,10726394.21
Germany-2018,Import,Chemicals,France,10549920.15
Germany-2018,Import,Chemicals,Italy,10226977.98
Germany-2018,Import,Chemicals,United Kingdom,6174507.9
Germany-2018,Import,Chemicals,China,6039707.09
Germany-2018,Import,Chemicals,Singapore,5112713.59
Germany-2018,Import,Plastic or Rubber,Netherlands,7489181.08
Germany-2018,Import,Plastic or Rubber,Belgium,6493813.64
Germany-2018,Import,Plastic or Rubber,Italy,5386968.5
Germany-2018,Import,Plastic or Rubber,France,5184187.37
Germany-2018,Import,Plastic or Rubber,Poland,4744529
Germany-2018,Import,Plastic or Rubber,China,3820085.71
Germany-2018,Import,Plastic or Rubber,Czech Republic,3241341.08
Germany-2018,Import,Plastic or Rubber,United States,3049243.02
Germany-2018,Import,Plastic or Rubber,Switzerland,2969756.7
Germany-2018,Import,Plastic or Rubber,Austria,2906323.37
Germany-2018,Import,Hides and Skins,China,1805601.63
Germany-2018,Import,Hides and Skins,Italy,959463.76
Germany-2018,Import,Hides and Skins,India,445910.42
Germany-2018,Import,Hides and Skins,France,353416.58
Germany-2018,Import,Hides and Skins,Vietnam,350997.78
Germany-2018,Import,Hides and Skins,Netherlands,231503.37
Germany-2018,Import,Hides and Skins,Poland,199337.83
Germany-2018,Import,Hides and Skins,Pakistan,143520.45
Germany-2018,Import,Hides and Skins,Austria,137566.39
Germany-2018,Import,Hides and Skins,Czech Republic,121228.25
Germany-2018,Import,Wood,Poland,4547723.39
Germany-2018,Import,Wood,Austria,3291042.1
Germany-2018,Import,Wood,Sweden,3167613.68
Germany-2018,Import,Wood,Finland,2805289.64
Germany-2018,Import,Wood,Netherlands,2185820.57
Germany-2018,Import,Wood,France,2139308.83
Germany-2018,Import,Wood,Czech Republic,1951882.59
Germany-2018,Import,Wood,Italy,1710702.94
Germany-2018,Import,Wood,China,1325775.92
Germany-2018,Import,Wood,Switzerland,1124024.1
Germany-2018,Import,Textiles and Clothing,China,12315433.45
Germany-2018,Import,Textiles and Clothing,Bangladesh,6605018.97
Germany-2018,Import,Textiles and Clothing,Turkey,4979909.15
Germany-2018,Import,Textiles and Clothing,Italy,3428446.88
Germany-2018,Import,Textiles and Clothing,India,2398499.14
Germany-2018,Import,Textiles and Clothing,Netherlands,2207556.45
Germany-2018,Import,Textiles and Clothing,Pakistan,1613274.6
Germany-2018,Import,Textiles and Clothing,Vietnam,1608896.36
Germany-2018,Import,Textiles and Clothing,Poland,1551937.84
Germany-2018,Import,Textiles and Clothing,Cambodia,1542457.03
Germany-2018,Import,Footwear,China,3956810.43
Germany-2018,Import,Footwear,Vietnam,2049296.29
Germany-2018,Import,Footwear,Italy,1481102.77
Germany-2018,Import,Footwear,Indonesia,674195.21
Germany-2018,Import,Footwear,Netherlands,672298.83
Germany-2018,Import,Footwear,Portugal,538225.7
Germany-2018,Import,Footwear,India,489336.31
Germany-2018,Import,Footwear,France,407999.43
Germany-2018,Import,Footwear,Spain,379722.44
Germany-2018,Import,Footwear,Poland,363241.61
Germany-2018,Import,Stone and Glass,Switzerland,3942414.69
Germany-2018,Import,Stone and Glass,United States,3250171.81
Germany-2018,Import,Stone and Glass,China,2058252.21
Germany-2018,Import,Stone and Glass,Belgium,1755829.41
Germany-2018,Import,Stone and Glass,Italy,1484158.88
Germany-2018,Import,Stone and Glass,France,1339486
Germany-2018,Import,Stone and Glass,Poland,1303437.96
Germany-2018,Import,Stone and Glass,Austria,1256740.6
Germany-2018,Import,Stone and Glass,United Kingdom,1249431.51
Germany-2018,Import,Stone and Glass,Czech Republic,1203062.13
Germany-2018,Import,Metals,Italy,10096989.93
Germany-2018,Import,Metals,Austria,8577726.01
Germany-2018,Import,Metals,Netherlands,8339263.81
Germany-2018,Import,Metals,France,8084379.82
Germany-2018,Import,Metals,China,7217907.44
Germany-2018,Import,Metals,Poland,7110105.98
Germany-2018,Import,Metals,Belgium,6984470.86
Germany-2018,Import,Metals,Czech Republic,5705893.36
Germany-2018,Import,Metals,Russian Federation,4573260.4
Germany-2018,Import,Metals,Switzerland,4349705.19
Germany-2018,Import,Mach and Elec,China,66168954.85
Germany-2018,Import,Mach and Elec,United States,24837415.3
Germany-2018,Import,Mach and Elec,Czech Republic,18548082.82
Germany-2018,Import,Mach and Elec,Poland,14664548.37
Germany-2018,Import,Mach and Elec,Hungary,14646441.36
Germany-2018,Import,Mach and Elec,France,13692743.44
Germany-2018,Import,Mach and Elec,Italy,13388072.51
Germany-2018,Import,Mach and Elec,Japan,12967406.45
Germany-2018,Import,Mach and Elec,Austria,12556828.43
Germany-2018,Import,Mach and Elec,Netherlands,11444708.22
Germany-2018,Import,Transportation,France,18895606.58
Germany-2018,Import,Transportation,Spain,13986951.17
Germany-2018,Import,Transportation,Czech Republic,13436260.73
Germany-2018,Import,Transportation,Poland,9431916.04
Germany-2018,Import,Transportation,United Kingdom,9207427.9
Germany-2018,Import,Transportation,United States,9070186.14
Germany-2018,Import,Transportation,Italy,8648151.97
Germany-2018,Import,Transportation,Hungary,7128132
Germany-2018,Import,Transportation,Austria,6878060
Germany-2018,Import,Transportation,Slovak Republic,5463132.61
Germany-2018,Import,Miscellaneous,China,15915964.1
Germany-2018,Import,Miscellaneous,United States,12349271.06
Germany-2018,Import,Miscellaneous,Switzerland,9150197.95
Germany-2018,Import,Miscellaneous,Poland,8832199.57
Germany-2018,Import,Miscellaneous,Czech Republic,6779215.35
Germany-2018,Import,Miscellaneous,Netherlands,6596691.83
Germany-2018,Import,Miscellaneous,France,5667670.02
